epoch,lr,loss,iou,val_loss,val_iou,val_dice
0,0.0001,1.132305729956854,4.202552011143289e-11,1.1509660482406616,3.278597787349775e-11,6.557195574423934e-11
1,0.0001,1.0892616623923892,4.281747131941987e-11,1.086466453292153,3.278597787349775e-11,6.557195574423934e-11
2,0.0001,1.049642386890593,4.073500044133232e-11,1.0440880168568005,3.278597787349775e-11,6.557195574423934e-11
3,0.0001,1.0050078204699926,0.010209162480499452,1.037021983753551,3.278597787349775e-11,6.557195574423934e-11
4,0.0001,0.9633384801092602,0.12301077312962044,0.9248324090784247,0.0808019276725686,0.14719796990782338
5,0.0001,0.9240643495605105,0.24196305343751767,0.8745925643227317,0.25260493977101234,0.39999821818082215
6,0.0001,0.8834371737071446,0.274343854937499,0.840029082515023,0.3184621147004643,0.48130338445096504
7,0.0001,0.8473383273397174,0.2954790572892084,0.8549106066877191,0.34827176378142766,0.5143487675365478
8,0.0001,0.8043110853149777,0.3172237793990795,0.7565768306905573,0.4399260437657881,0.607974362652006
9,0.0001,0.7762587552978879,0.3383781725264276,0.9661483547904275,0.1966925932143665,0.3258785114000566
10,0.0001,0.7408907555398487,0.34085100501920784,0.8510345437309959,0.304626012807371,0.4640090578663198
11,0.0001,0.7131231625874838,0.3446500441806948,0.7863929271697998,0.25731091861816024,0.40777285724274465
12,0.0001,0.6824057158969697,0.3608099276465324,0.8527303283864801,0.2883619158472433,0.4431196232529351
13,0.0001,0.662489979040055,0.3673447153201741,0.7470548423853788,0.4042210001423838,0.5722721342694435
14,0.0001,0.6306412645748684,0.3737398123650317,0.6177213354544207,0.37639994565390056,0.5420845937341746
15,0.0001,0.619901309410731,0.3940909792599809,0.6185683662241156,0.43670543130552897,0.6050233546851146
16,0.0001,0.6042770530496325,0.3961964721731984,0.6650949228893627,0.3308631245133372,0.49450543350217924
17,0.0001,0.6033115869476682,0.392594935095699,0.6984837326136503,0.38710711758204996,0.5566098414612877
18,0.0001,0.5899370043050676,0.3894095853872753,0.802708392793482,0.31403752874532825,0.47297617972945666
19,0.0001,0.5746596526531946,0.4052335568358717,0.574294924736023,0.5020535016300459,0.6660534616632187
20,0.0001,0.5694941750594548,0.3940033905400173,0.5855301672762091,0.4679477701066137,0.6333463559621855
21,0.0001,0.5709009553704943,0.4115181284374717,0.530595600605011,0.5228583180636629,0.6840770257452332
22,0.0001,0.5428566606271834,0.4212417860992039,0.6710710633884777,0.38480589630927364,0.554106340337534
